Frequency (Hz)	Level (dB)
283.203125	-72.497581
284.179688	-72.885696
285.156250	-72.137306
286.132812	-72.290596
287.109375	-72.449425
288.085938	-72.301720
289.062500	-72.998993
290.039062	-72.348717
291.015625	-72.966309
291.992188	-72.313904
292.968750	-72.246498
293.945312	-72.859016
294.921875	-73.411064
295.898438	-73.745522
296.875000	-73.806114
297.851562	-73.920326
298.828125	-74.615730
299.804688	-74.183128
300.781250	-74.224449
301.757812	-73.338097
302.734375	-73.153503
303.710938	-74.311996
304.687500	-75.443657
305.664062	-73.990417
306.640625	-72.804398
307.617188	-73.861931
308.593750	-74.486549
309.570312	-72.897430
310.546875	-74.935364
311.523438	-75.270683
312.500000	-73.823204
313.476562	-73.975410
314.453125	-73.200577
315.429688	-74.057907
316.406250	-73.599556
317.382812	-73.759033
318.359375	-73.803017
319.335938	-74.406883
320.312500	-75.357231
321.289062	-74.763496
322.265625	-74.569450
323.242188	-74.572510
324.218750	-73.596657
325.195312	-74.507858
326.171875	-74.724007
327.148438	-75.048210
328.125000	-75.090904
329.101562	-73.167038
330.078125	-74.147339
331.054688	-73.746796
332.031250	-73.684998
333.007812	-74.127457
333.984375	-74.058167
334.960938	-74.308044
335.937500	-74.413223
336.914062	-75.053818
337.890625	-73.742638
338.867188	-74.152260
339.843750	-74.869331
340.820312	-73.492462
341.796875	-74.816063
342.773438	-74.408417
343.750000	-73.008041
344.726562	-74.536255
345.703125	-74.355659
346.679688	-74.170158
347.656250	-74.007904
348.632812	-74.026352
349.609375	-75.168968
350.585938	-74.900978
351.562500	-72.375511
352.539062	-73.476456
353.515625	-72.992859
354.492188	-73.060600
355.468750	-73.153969
356.445312	-73.568893
357.421875	-74.151619
358.398438	-75.434891
359.375000	-73.323372
360.351562	-72.954544
361.328125	-74.476654
362.304688	-73.305351
363.281250	-73.264496
364.257812	-73.693314
365.234375	-73.840263
366.210938	-75.909103
367.187500	-73.390793
368.164062	-73.550980
369.140625	-72.711372
370.117188	-73.384109
371.093750	-72.903641
372.070312	-73.801231
373.046875	-72.001953
374.023438	-72.556122
375.000000	-72.857628
375.976562	-72.527344
376.953125	-72.981163
377.929688	-73.006195
378.906250	-72.823166
379.882812	-71.890854
380.859375	-72.565071
381.835938	-72.124947
382.812500	-71.331490
383.789062	-72.439903
384.765625	-71.912018
385.742188	-71.797218
386.718750	-71.626305
387.695312	-72.655312
388.671875	-72.363838
389.648438	-70.777161
390.625000	-70.041626
391.601562	-71.798767
392.578125	-72.659882
393.554688	-71.394432
394.531250	-71.465996
395.507812	-70.696732
396.484375	-70.176483
397.460938	-71.367493
398.437500	-71.000648
399.414062	-70.016342
400.390625	-70.698448
401.367188	-69.903984
402.343750	-69.497757
403.320312	-68.708160
404.296875	-68.567467
405.273438	-71.433258
406.250000	-69.813454
407.226562	-69.551590
408.203125	-69.226273
409.179688	-69.000198
410.156250	-69.690216
411.132812	-68.318268
412.109375	-68.128845
413.085938	-67.507164
