Frequency (Hz)	Level (dB)
283.203125	-65.866722
284.179688	-66.738113
285.156250	-66.108978
286.132812	-66.254547
287.109375	-67.117722
288.085938	-66.624969
289.062500	-67.095871
290.039062	-66.715958
291.015625	-67.609695
291.992188	-67.943466
292.968750	-67.688126
293.945312	-67.914925
294.921875	-68.328613
295.898438	-69.092308
296.875000	-68.982246
297.851562	-70.341232
298.828125	-70.078934
299.804688	-69.987282
300.781250	-70.421745
301.757812	-69.669411
302.734375	-69.375069
303.710938	-70.749504
304.687500	-71.667824
305.664062	-71.042038
306.640625	-69.674858
307.617188	-71.000839
308.593750	-71.170364
309.570312	-69.541306
310.546875	-72.283600
311.523438	-72.667435
312.500000	-71.278336
313.476562	-71.598724
314.453125	-70.803932
315.429688	-71.463806
316.406250	-71.432793
317.382812	-71.567818
318.359375	-72.079491
319.335938	-72.835152
320.312500	-73.219246
321.289062	-73.151817
322.265625	-73.048714
323.242188	-72.998215
324.218750	-72.482346
325.195312	-73.407303
326.171875	-73.859154
327.148438	-73.497231
328.125000	-74.233421
329.101562	-72.418800
330.078125	-72.934769
331.054688	-72.366714
332.031250	-73.191849
333.007812	-73.242233
333.984375	-73.571342
334.960938	-73.459259
335.937500	-74.263420
336.914062	-74.123253
337.890625	-73.547066
338.867188	-74.035011
339.843750	-75.157051
340.820312	-74.585121
341.796875	-74.489449
342.773438	-74.852730
343.750000	-73.574875
344.726562	-74.891861
345.703125	-74.560310
346.679688	-74.675438
347.656250	-74.725418
348.632812	-74.723328
349.609375	-75.789757
350.585938	-76.084618
351.562500	-73.155220
352.539062	-74.465034
353.515625	-74.416222
354.492188	-74.055939
355.468750	-74.519600
356.445312	-74.572151
357.421875	-75.542313
358.398438	-77.742409
359.375000	-74.811195
360.351562	-74.634682
361.328125	-76.435661
362.304688	-74.705170
363.281250	-75.427666
364.257812	-75.332825
365.234375	-76.558403
366.210938	-77.955948
367.187500	-75.493195
368.164062	-76.192818
369.140625	-75.215584
370.117188	-75.915558
371.093750	-75.602753
372.070312	-76.087334
373.046875	-74.638649
374.023438	-75.383820
375.000000	-75.657211
375.976562	-75.513397
376.953125	-75.755486
377.929688	-75.740837
378.906250	-75.543106
379.882812	-75.650063
380.859375	-75.291206
381.835938	-75.332634
382.812500	-75.381424
383.789062	-75.860062
384.765625	-75.522705
385.742188	-75.893600
386.718750	-75.628685
387.695312	-76.598640
388.671875	-76.066727
389.648438	-74.618080
390.625000	-75.173531
391.601562	-76.267754
392.578125	-77.574524
393.554688	-76.669525
394.531250	-76.233047
395.507812	-75.936501
396.484375	-75.497665
397.460938	-75.919655
398.437500	-76.310486
399.414062	-75.691765
400.390625	-76.586594
401.367188	-75.630325
402.343750	-75.808945
403.320312	-75.374756
404.296875	-75.249008
405.273438	-77.262047
406.250000	-76.000000
407.226562	-75.938057
408.203125	-76.005562
409.179688	-76.308411
410.156250	-76.835457
411.132812	-75.672272
412.109375	-75.408493
413.085938	-74.870689
414.062500	-76.653740
415.039062	-75.921387
416.015625	-75.218361
416.992188	-75.165573
417.968750	-76.123032
418.945312	-75.525475
419.921875	-76.547058
420.898438	-75.469170
421.875000	-75.631012
422.851562	-74.988556
423.828125	-75.610771
424.804688	-74.244492
425.781250	-74.468292
426.757812	-75.004318
427.734375	-75.671318
428.710938	-75.963089
429.687500	-74.577614
430.664062	-75.071281
431.640625	-73.554382
432.617188	-74.681465
433.593750	-75.272949
434.570312	-75.275864
435.546875	-73.803711
436.523438	-75.188454
437.500000	-73.487816
438.476562	-74.560661
439.453125	-74.118347
440.429688	-75.255188
441.406250	-74.182091
442.382812	-74.472786
443.359375	-74.689430
444.335938	-73.652069
445.312500	-75.208351
446.289062	-75.021271
447.265625	-72.974007
448.242188	-74.505394
449.218750	-72.939812
450.195312	-74.589958
451.171875	-73.648705
452.148438	-73.773697
453.125000	-74.411705
454.101562	-73.641808
455.078125	-73.157082
456.054688	-73.779312
457.031250	-74.262505
458.007812	-73.457138
458.984375	-73.143394
459.960938	-72.814484
460.937500	-72.519493
461.914062	-73.196777
462.890625	-72.171059
463.867188	-72.707039
464.843750	-72.596703
465.820312	-73.321228
466.796875	-71.807236
467.773438	-71.550674
468.750000	-72.308472
469.726562	-71.276329
470.703125	-71.684326
471.679688	-72.315926
472.656250	-70.915482
473.632812	-72.876396
474.609375	-71.816132
475.585938	-71.872971
476.562500	-71.034454
477.539062	-71.408257
478.515625	-70.861519
479.492188	-71.698097
480.468750	-70.820114
481.445312	-70.005836
482.421875	-71.369301
483.398438	-70.075111
484.375000	-70.106735
485.351562	-70.212379
486.328125	-70.723526
487.304688	-69.717560
488.281250	-70.854790
489.257812	-68.315285
490.234375	-68.677483
491.210938	-69.356026
492.187500	-70.057205
493.164062	-67.348473
494.140625	-68.762695
495.117188	-68.028488
496.093750	-67.655220
497.070312	-69.517326
498.046875	-68.148727
499.023438	-67.729034
500.000000	-69.778336
500.976562	-67.057159
501.953125	-66.039345
502.929688	-66.950752
503.906250	-66.829681
504.882812	-66.679108
505.859375	-66.015938
506.835938	-65.616264
507.812500	-65.538445
508.789062	-66.058128
509.765625	-66.478897
510.742188	-64.269745
511.718750	-64.248177
512.695312	-64.029861
513.671875	-65.172737
514.648438	-64.286186
515.625000	-63.288681
516.601562	-63.114113
517.578125	-63.791859
518.554688	-62.856686
519.531250	-62.819637
520.507812	-62.678852
521.484375	-62.120186
522.460938	-62.958809
523.437500	-62.593113
524.414062	-61.959698
525.390625	-62.248379
526.367188	-62.186886
527.343750	-62.017189
528.320312	-61.760429
529.296875	-61.025368
530.273438	-61.484806
531.250000	-61.082161
532.226562	-60.772255
533.203125	-60.143101
534.179688	-61.545918
535.156250	-61.809277
536.132812	-61.530769
537.109375	-61.819870
538.085938	-62.145733
539.062500	-61.394920
540.039062	-62.783096
541.015625	-63.557632
541.992188	-62.601994
542.968750	-62.015232
543.945312	-63.181393
544.921875	-63.843933
545.898438	-64.807465
546.875000	-64.727676
547.851562	-63.638409
548.828125	-64.830139
549.804688	-64.736229
550.781250	-65.055855
551.757812	-66.462372
552.734375	-64.385582
553.710938	-65.049942
554.687500	-64.913002
555.664062	-65.453995
556.640625	-66.696426
557.617188	-66.512428
558.593750	-65.698135
559.570312	-66.252777
560.546875	-68.159302
561.523438	-68.200493
562.500000	-67.631454
563.476562	-66.423195
564.453125	-67.458237
565.429688	-68.626114
566.406250	-68.918785
567.382812	-67.891640
568.359375	-68.705063
569.335938	-68.664978
570.312500	-68.626923
571.289062	-69.743393
572.265625	-68.935188
573.242188	-68.791183
574.218750	-71.443298
575.195312	-70.632744
576.171875	-69.283058
577.148438	-69.872276
578.125000	-70.247475
579.101562	-71.142326
580.078125	-70.335625
581.054688	-70.550323
582.031250	-71.128555
583.007812	-70.277229
583.984375	-70.998833
584.960938	-71.683578
585.937500	-71.265785
586.914062	-70.716194
587.890625	-71.198273
588.867188	-71.328979
589.843750	-71.071571
590.820312	-70.890312
591.796875	-72.760986
592.773438	-71.128448
593.750000	-71.547165
594.726562	-72.097977
595.703125	-73.031876
596.679688	-71.340744
597.656250	-71.612068
598.632812	-72.447731
599.609375	-71.306458
600.585938	-73.554497
601.562500	-71.903290
602.539062	-72.654900
603.515625	-72.727264
604.492188	-72.967026
605.468750	-72.119392
606.445312	-72.675392
607.421875	-72.368225
608.398438	-74.364960
609.375000	-73.669861
610.351562	-72.531136
611.328125	-73.587654
612.304688	-72.596474
613.281250	-73.981262
614.257812	-74.256752
615.234375	-72.814308
616.210938	-72.619331
617.187500	-73.001282
618.164062	-73.399300
619.140625	-75.007629
620.117188	-73.101875
621.093750	-73.352150
622.070312	-73.646790
623.046875	-73.720093
624.023438	-74.107574
625.000000	-73.685898
625.976562	-73.824608
626.953125	-72.570831
627.929688	-73.195572
628.906250	-74.754105
629.882812	-74.053421
630.859375	-74.650200
631.835938	-75.071297
632.812500	-73.114784
633.789062	-72.751076
634.765625	-75.876617
635.742188	-74.327362
636.718750	-73.636559
637.695312	-73.854317
638.671875	-73.171066
639.648438	-73.981644
640.625000	-74.532310
641.601562	-74.871567
642.578125	-73.525124
643.554688	-74.422607
644.531250	-73.782959
645.507812	-72.900032
646.484375	-74.392052
647.460938	-74.220779
648.437500	-74.416321
649.414062	-74.062950
650.390625	-74.146019
651.367188	-73.638336
652.343750	-73.168732
653.320312	-74.111877
654.296875	-74.310562
655.273438	-74.623016
656.250000	-74.069130
657.226562	-75.024307
658.203125	-74.648849
659.179688	-74.681763
660.156250	-74.232292
661.132812	-75.120979
662.109375	-74.546913
663.085938	-74.139992
664.062500	-74.250847
665.039062	-74.313751
666.015625	-74.584717
666.992188	-74.501389
667.968750	-75.365967
668.945312	-74.271805
669.921875	-74.727295
670.898438	-74.971268
671.875000	-74.883659
672.851562	-73.914627
673.828125	-74.622559
674.804688	-74.302864
675.781250	-75.740906
676.757812	-74.063484
677.734375	-74.986465
678.710938	-74.240883
679.687500	-74.816605
680.664062	-73.914230
681.640625	-72.602119
682.617188	-73.581619
683.593750	-73.072029
684.570312	-73.524002
685.546875	-73.388367
686.523438	-73.399406
687.500000	-74.902321
688.476562	-73.841492
689.453125	-73.991890
690.429688	-75.200523
691.406250	-74.268593
692.382812	-73.709496
693.359375	-73.643036
694.335938	-74.644638
695.312500	-74.330322
696.289062	-75.529816
697.265625	-73.287857
698.242188	-72.983276
699.218750	-74.868675
700.195312	-74.137238
701.171875	-72.981071
702.148438	-73.605164
703.125000	-72.959183
704.101562	-72.243149
705.078125	-72.650894
706.054688	-72.774216
707.031250	-73.239304
708.007812	-74.063896
708.984375	-73.164673
709.960938	-73.152267
710.937500	-71.834602
711.914062	-72.679092
712.890625	-73.538834
713.867188	-71.954109
714.843750	-72.906998
715.820312	-71.627754
716.796875	-72.284996
717.773438	-72.206116
718.750000	-72.107910
719.726562	-72.166817
720.703125	-72.496666
721.679688	-71.369003
722.656250	-72.034637
723.632812	-71.891319
724.609375	-72.086922
725.585938	-70.733231
726.562500	-70.429466
727.539062	-72.756485
728.515625	-71.292801
729.492188	-71.918121
730.468750	-70.561844
731.445312	-70.534332
732.421875	-71.542114
733.398438	-72.121216
734.375000	-69.887093
735.351562	-70.620453
736.328125	-70.701706
737.304688	-71.489586
738.281250	-70.147881
739.257812	-69.139854
740.234375	-69.439064
741.210938	-70.844154
742.187500	-68.489349
743.164062	-68.900948
744.140625	-70.583107
745.117188	-69.206215
746.093750	-69.190666
747.070312	-69.787430
748.046875	-68.669556
749.023438	-68.684059
750.000000	-69.121277
750.976562	-68.552910
751.953125	-67.888405
752.929688	-69.278008
753.906250	-68.128044
754.882812	-67.891052
755.859375	-68.939278
756.835938	-67.877998
757.812500	-67.555061
758.789062	-67.596710
759.765625	-66.870491
760.742188	-67.163795
761.718750	-67.606606
762.695312	-66.839180
763.671875	-66.482254
764.648438	-65.777679
765.625000	-65.965508
766.601562	-66.262070
767.578125	-65.409615
768.554688	-65.124458
769.531250	-65.463837
770.507812	-65.555397
771.484375	-65.507973
772.460938	-65.867691
773.437500	-65.122643
774.414062	-64.308891
775.390625	-62.572853
776.367188	-63.860840
777.343750	-63.951515
778.320312	-63.817192
779.296875	-63.327621
780.273438	-63.656757
781.250000	-63.447819
782.226562	-63.754448
783.203125	-62.563526
784.179688	-61.237293
785.156250	-61.448830
786.132812	-61.399704
787.109375	-60.479862
788.085938	-59.822220
789.062500	-61.236725
790.039062	-60.749344
791.015625	-60.985767
791.992188	-59.260334
792.968750	-59.640343
793.945312	-59.616604
794.921875	-59.750568
795.898438	-59.316010
796.875000	-58.923050
797.851562	-57.859982
798.828125	-58.020309
799.804688	-59.036846
800.781250	-59.321705
801.757812	-59.719830
802.734375	-60.008377
803.710938	-59.977184
804.687500	-60.048454
805.664062	-59.336983
806.640625	-60.867386
807.617188	-60.583324
808.593750	-60.472885
809.570312	-60.070065
810.546875	-60.750969
811.523438	-62.357979
812.500000	-61.536690
813.476562	-60.804924
814.453125	-61.804409
815.429688	-62.122360
816.406250	-61.888596
817.382812	-62.966972
818.359375	-62.977116
819.335938	-63.053291
820.312500	-62.815155
821.289062	-64.023170
822.265625	-64.846725
823.242188	-63.831860
824.218750	-64.862488
825.195312	-63.746685
826.171875	-64.451424
827.148438	-63.830677
828.125000	-66.209679
829.101562	-65.766914
830.078125	-65.334488
831.054688	-65.109261
832.031250	-65.833900
833.007812	-66.918411
833.984375	-65.985039
834.960938	-66.857925
835.937500	-67.256485
836.914062	-67.100914
837.890625	-68.193382
838.867188	-66.616234
839.843750	-68.191895
840.820312	-68.404350
841.796875	-67.651703
842.773438	-68.329300
843.750000	-68.013718
844.726562	-67.346863
845.703125	-68.755951
846.679688	-68.983582
847.656250	-67.679199
848.632812	-68.007423
849.609375	-68.288582
850.585938	-68.775963
851.562500	-69.404037
852.539062	-68.762749
853.515625	-69.101891
854.492188	-69.272942
855.468750	-69.423119
856.445312	-69.141235
857.421875	-68.487411
858.398438	-70.289520
859.375000	-70.149773
860.351562	-70.016457
861.328125	-70.325905
862.304688	-69.277634
863.281250	-71.317635
864.257812	-69.669357
865.234375	-70.893257
866.210938	-70.040115
867.187500	-70.612045
868.164062	-69.850105
869.140625	-69.981949
870.117188	-69.695129
871.093750	-70.548813
872.070312	-69.955460
873.046875	-70.794182
874.023438	-70.208527
875.000000	-71.353600
875.976562	-70.852150
876.953125	-71.105659
877.929688	-72.048889
878.906250	-73.016357
879.882812	-71.484871
880.859375	-70.476936
881.835938	-70.586716
882.812500	-70.867043
883.789062	-71.686401
884.765625	-72.458069
885.742188	-71.829132
886.718750	-70.453728
887.695312	-71.328308
888.671875	-72.325287
889.648438	-70.263969
890.625000	-72.375816
891.601562	-72.097908
892.578125	-72.614166
893.554688	-73.343590
894.531250	-72.348068
895.507812	-72.469681
896.484375	-72.696815
897.460938	-72.018501
898.437500	-72.826172
899.414062	-73.037804
900.390625	-72.420738
901.367188	-71.641487
902.343750	-71.382935
903.320312	-72.043327
904.296875	-73.050064
905.273438	-72.862648
906.250000	-71.375389
907.226562	-71.961426
908.203125	-72.905701
909.179688	-72.227440
910.156250	-73.003052
911.132812	-72.957169
912.109375	-71.026520
913.085938	-73.017792
914.062500	-72.584145
915.039062	-73.035713
916.015625	-73.928909
916.992188	-72.048134
917.968750	-72.061165
918.945312	-72.708900
919.921875	-72.616425
920.898438	-72.335922
921.875000	-72.765747
922.851562	-72.998871
923.828125	-71.694992
924.804688	-73.016846
925.781250	-72.516434
926.757812	-72.652451
927.734375	-73.339264
928.710938	-72.944191
929.687500	-72.660583
930.664062	-72.644112
931.640625	-72.337738
932.617188	-70.937614
933.593750	-72.859238
934.570312	-72.547134
935.546875	-71.407272
936.523438	-72.585289
937.500000	-72.338188
938.476562	-72.198334
939.453125	-73.059128
940.429688	-71.730431
941.406250	-71.508820
942.382812	-72.340172
943.359375	-72.797737
944.335938	-72.503342
945.312500	-72.135712
946.289062	-73.236847
947.265625	-72.228287
948.242188	-72.004112
949.218750	-71.075645
950.195312	-71.899208
951.171875	-73.117874
952.148438	-72.141151
953.125000	-71.419777
954.101562	-72.550957
955.078125	-71.914749
956.054688	-72.579826
957.031250	-71.864845
958.007812	-71.817841
958.984375	-71.393234
959.960938	-72.904129
960.937500	-72.468094
961.914062	-72.167519
962.890625	-71.902100
963.867188	-71.364059
964.843750	-71.608063
965.820312	-72.310600
966.796875	-71.996628
967.773438	-72.004143
968.750000	-72.095612
969.726562	-72.869606
970.703125	-70.652023
971.679688	-70.761475
972.656250	-70.880341
973.632812	-70.848297
974.609375	-70.535744
975.585938	-71.127090
976.562500	-71.566048
977.539062	-70.430084
978.515625	-70.404007
979.492188	-70.176643
980.468750	-70.648369
981.445312	-70.246544
982.421875	-71.025093
983.398438	-70.527199
984.375000	-71.037483
985.351562	-70.050301
986.328125	-69.840668
987.304688	-69.212402
988.281250	-70.636597
989.257812	-72.034508
990.234375	-70.715332
991.210938	-70.469780
992.187500	-69.492500
993.164062	-70.093399
994.140625	-69.633293
995.117188	-70.353012
996.093750	-69.984962
997.070312	-69.220787
998.046875	-69.313850
999.023438	-69.464813
1000.000000	-69.380219
1000.976562	-67.314865
1001.953125	-68.608406
1002.929688	-67.664085
1003.906250	-68.398056
1004.882812	-68.498184
1005.859375	-67.004829
1006.835938	-68.261734
1007.812500	-68.288872
1008.789062	-68.175194
1009.765625	-67.474571
1010.742188	-68.131317
1011.718750	-68.183739
1012.695312	-68.681313
1013.671875	-67.777969
1014.648438	-66.718422
1015.625000	-66.232918
1016.601562	-66.462822
1017.578125	-66.302673
1018.554688	-65.931541
1019.531250	-65.332283
1020.507812	-66.041710
1021.484375	-65.910591
1022.460938	-66.661758
1023.437500	-65.758156
1024.414062	-65.900795
1025.390625	-64.074333
1026.367188	-66.157211
1027.343750	-64.487976
1028.320312	-65.205948
1029.296875	-64.724464
1030.273438	-64.394150
1031.250000	-65.021736
1032.226562	-65.726219
1033.203125	-63.722435
1034.179688	-64.037239
1035.156250	-63.759377
1036.132812	-62.639961
1037.109375	-62.921631
1038.085938	-63.762440
1039.062500	-61.475189
1040.039062	-63.615955
1041.015625	-62.127922
1041.992188	-61.784348
1042.968750	-62.258766
1043.945312	-60.514408
1044.921875	-60.471649
1045.898438	-59.873077
1046.875000	-59.471443
1047.851562	-59.222851
1048.828125	-59.884598
1049.804688	-58.974277
1050.781250	-58.846615
1051.757812	-59.100521
1052.734375	-60.590492
1053.710938	-59.058990
1054.687500	-58.367359
1055.664062	-58.630074
1056.640625	-57.996487
1057.617188	-58.074726
1058.593750	-58.993477
1059.570312	-57.620251
1060.546875	-56.960514
1061.523438	-57.300125
1062.500000	-59.079632
1063.476562	-59.105343
1064.453125	-59.098541
1065.429688	-58.097530
1066.406250	-57.989914
1067.382812	-58.087353
1068.359375	-58.391506
1069.335938	-56.991310
1070.312500	-58.873806
1071.289062	-60.166393
1072.265625	-58.173244
1073.242188	-57.898853
1074.218750	-58.865025
1075.195312	-60.103737
1076.171875	-60.253544
1077.148438	-60.621998
1078.125000	-61.370758
1079.101562	-60.585201
1080.078125	-61.018002
1081.054688	-61.134346
1082.031250	-61.852795
1083.007812	-62.344326
1083.984375	-62.243557
1084.960938	-61.811954
1085.937500	-61.898277
1086.914062	-62.747974
1087.890625	-61.542328
1088.867188	-63.523834
1089.843750	-64.450089
1090.820312	-63.584576
1091.796875	-65.138123
1092.773438	-63.627766
1093.750000	-64.094467
1094.726562	-64.994041
1095.703125	-63.294525
1096.679688	-63.623158
1097.656250	-65.177330
1098.632812	-64.751724
1099.609375	-64.216179
1100.585938	-65.496902
1101.562500	-64.025787
1102.539062	-64.351532
1103.515625	-64.772705
