Frequency (Hz)	Level (dB)
283.203125	-63.684521
284.179688	-65.078629
285.156250	-63.157093
286.132812	-62.979633
287.109375	-63.662838
288.085938	-61.670200
289.062500	-62.253658
290.039062	-62.574284
291.015625	-62.465866
291.992188	-62.453476
292.968750	-62.275021
293.945312	-61.964378
294.921875	-63.060890
295.898438	-63.736160
296.875000	-63.542435
297.851562	-64.641922
298.828125	-63.950497
299.804688	-64.068726
300.781250	-65.210564
301.757812	-64.740654
302.734375	-63.548199
303.710938	-64.942101
304.687500	-65.752426
305.664062	-65.357498
306.640625	-64.722313
307.617188	-66.084076
308.593750	-66.744431
309.570312	-65.346222
310.546875	-67.158844
311.523438	-67.722527
312.500000	-66.846519
313.476562	-67.494255
314.453125	-66.637291
315.429688	-67.387314
316.406250	-68.023132
317.382812	-68.021927
318.359375	-68.332771
319.335938	-70.019516
320.312500	-69.747818
321.289062	-69.965256
322.265625	-69.979156
323.242188	-69.909531
324.218750	-69.555702
325.195312	-70.950851
326.171875	-71.510902
327.148438	-70.371262
328.125000	-71.733971
329.101562	-69.583633
330.078125	-70.583534
331.054688	-70.214012
332.031250	-71.019638
333.007812	-71.377357
333.984375	-71.541191
334.960938	-71.519066
335.937500	-72.080986
336.914062	-72.065208
337.890625	-71.922157
338.867188	-72.860046
339.843750	-73.326759
340.820312	-72.541977
341.796875	-73.274704
342.773438	-72.958015
343.750000	-71.713493
344.726562	-73.228279
345.703125	-73.137955
346.679688	-73.748375
347.656250	-73.781540
348.632812	-73.519585
349.609375	-74.583412
350.585938	-75.237587
351.562500	-72.454399
352.539062	-73.237206
353.515625	-72.994736
354.492188	-73.043045
355.468750	-73.443077
356.445312	-74.472412
357.421875	-74.745827
358.398438	-76.329849
359.375000	-74.134384
360.351562	-74.686295
361.328125	-75.827568
362.304688	-75.270912
363.281250	-74.731628
364.257812	-74.570618
365.234375	-75.734077
366.210938	-76.730705
367.187500	-75.384056
368.164062	-76.570129
369.140625	-74.689011
370.117188	-75.308693
371.093750	-75.851357
372.070312	-76.042877
373.046875	-74.813332
374.023438	-75.351120
375.000000	-75.246162
375.976562	-75.929657
376.953125	-76.452065
377.929688	-76.266945
378.906250	-75.663330
379.882812	-75.774590
380.859375	-76.483505
381.835938	-76.148972
382.812500	-75.882561
383.789062	-76.702644
384.765625	-76.333374
385.742188	-76.921677
386.718750	-76.439720
387.695312	-77.456947
388.671875	-76.838478
389.648438	-75.647797
390.625000	-75.698692
391.601562	-77.835876
392.578125	-78.199768
393.554688	-76.528145
394.531250	-77.858704
395.507812	-76.987038
396.484375	-76.710350
397.460938	-77.773743
398.437500	-77.211853
399.414062	-76.514099
400.390625	-77.209915
401.367188	-77.175362
402.343750	-77.249489
403.320312	-75.737732
404.296875	-75.939621
405.273438	-78.274597
406.250000	-78.190849
407.226562	-76.955505
408.203125	-77.554550
409.179688	-77.796822
410.156250	-78.258224
411.132812	-77.560356
412.109375	-77.320656
413.085938	-76.493958
414.062500	-77.823219
415.039062	-77.858322
416.015625	-77.189964
416.992188	-77.270836
417.968750	-78.304115
418.945312	-77.030136
419.921875	-78.440628
420.898438	-76.849113
421.875000	-77.437050
422.851562	-77.522888
423.828125	-77.660789
424.804688	-76.237038
425.781250	-76.491676
426.757812	-77.530838
427.734375	-78.189865
428.710938	-78.018761
429.687500	-77.914352
430.664062	-77.443512
431.640625	-75.770714
432.617188	-77.487129
433.593750	-77.993919
434.570312	-78.483376
435.546875	-77.682350
436.523438	-77.850319
437.500000	-75.237251
438.476562	-77.064819
439.453125	-77.056366
440.429688	-78.240135
441.406250	-77.188477
442.382812	-77.249016
443.359375	-77.399818
444.335938	-77.201035
445.312500	-77.734482
446.289062	-77.856133
447.265625	-76.270180
448.242188	-77.569603
449.218750	-76.367203
450.195312	-77.914726
451.171875	-76.946632
452.148438	-77.429344
453.125000	-78.062393
454.101562	-77.423050
455.078125	-76.828682
456.054688	-76.927246
457.031250	-77.611641
458.007812	-77.448563
458.984375	-76.955856
459.960938	-77.025063
460.937500	-75.697670
461.914062	-76.738594
462.890625	-76.408890
463.867188	-77.109871
464.843750	-77.097702
465.820312	-76.833603
466.796875	-75.715347
467.773438	-76.676620
468.750000	-76.517090
469.726562	-75.452721
470.703125	-75.749222
471.679688	-77.349541
472.656250	-76.302193
473.632812	-77.035652
474.609375	-77.035301
475.585938	-77.716682
476.562500	-76.462448
477.539062	-76.476639
478.515625	-76.258591
479.492188	-77.281715
480.468750	-76.195892
481.445312	-75.757454
482.421875	-76.848938
483.398438	-75.432335
484.375000	-75.900528
485.351562	-75.950096
486.328125	-76.398758
487.304688	-76.135109
488.281250	-77.007950
489.257812	-74.480583
490.234375	-74.720619
491.210938	-75.421074
492.187500	-77.005531
493.164062	-74.183273
494.140625	-75.398247
495.117188	-75.605789
496.093750	-74.687721
497.070312	-76.282433
498.046875	-75.460960
499.023438	-75.467827
500.000000	-76.464439
500.976562	-74.515213
501.953125	-73.877861
502.929688	-75.475571
503.906250	-75.518547
504.882812	-74.897743
505.859375	-74.655151
506.835938	-74.229309
507.812500	-73.268784
508.789062	-75.241165
509.765625	-75.183846
510.742188	-73.404793
511.718750	-73.851639
512.695312	-73.574699
513.671875	-74.374680
514.648438	-73.988838
515.625000	-73.046402
516.601562	-73.598557
517.578125	-74.406860
