Frequency (Hz)	Level (dB)
283.203125	-42.872486
284.179688	-43.195625
285.156250	-42.512581
286.132812	-42.365856
287.109375	-42.878391
288.085938	-42.363201
289.062500	-42.779335
290.039062	-42.281719
291.015625	-42.674194
291.992188	-42.253265
292.968750	-42.027325
293.945312	-42.448288
294.921875	-42.577908
295.898438	-43.081738
296.875000	-42.963600
297.851562	-43.389778
298.828125	-43.459366
299.804688	-43.607815
300.781250	-43.743221
301.757812	-42.434002
302.734375	-42.172272
303.710938	-43.573387
304.687500	-43.788620
305.664062	-43.250130
306.640625	-41.554489
307.617188	-43.016029
308.593750	-43.316833
309.570312	-41.483280
310.546875	-43.559635
311.523438	-43.920174
312.500000	-42.350449
313.476562	-42.507542
314.453125	-41.816883
315.429688	-42.420483
316.406250	-42.114643
317.382812	-42.485191
318.359375	-42.719883
319.335938	-43.374508
320.312500	-43.921154
321.289062	-43.327763
322.265625	-43.283928
323.242188	-43.066185
324.218750	-42.081326
325.195312	-43.171986
326.171875	-43.788448
327.148438	-43.337128
328.125000	-43.762272
329.101562	-41.484131
330.078125	-42.596260
331.054688	-42.114750
332.031250	-42.397644
333.007812	-42.515160
333.984375	-42.461155
334.960938	-42.422333
335.937500	-42.969223
336.914062	-43.265724
337.890625	-42.135582
338.867188	-42.708317
339.843750	-43.693546
340.820312	-42.612587
341.796875	-43.265366
342.773438	-43.122360
343.750000	-41.608227
344.726562	-43.469765
345.703125	-42.854382
346.679688	-42.738434
347.656250	-42.693344
348.632812	-42.893517
349.609375	-44.160580
350.585938	-43.668079
351.562500	-40.850491
352.539062	-42.291645
353.515625	-41.833153
354.492188	-41.914482
355.468750	-42.268860
356.445312	-42.861206
357.421875	-43.059349
358.398438	-44.805992
359.375000	-42.464333
360.351562	-42.294743
361.328125	-43.787434
362.304688	-42.475307
363.281250	-42.687263
364.257812	-42.917343
365.234375	-43.751682
366.210938	-45.156456
367.187500	-42.847679
368.164062	-43.271957
369.140625	-42.445827
370.117188	-43.057499
371.093750	-42.575676
372.070312	-43.544647
373.046875	-41.799805
374.023438	-42.407856
375.000000	-42.856373
375.976562	-42.741394
376.953125	-42.986153
377.929688	-43.503529
378.906250	-42.843548
379.882812	-42.404896
380.859375	-42.928486
381.835938	-42.740246
382.812500	-42.308708
383.789062	-43.425907
384.765625	-42.526909
385.742188	-42.638165
386.718750	-42.840389
387.695312	-43.859016
388.671875	-43.512367
389.648438	-41.931915
390.625000	-41.403828
391.601562	-43.143833
392.578125	-44.667427
393.554688	-43.237171
394.531250	-43.318916
395.507812	-42.614300
396.484375	-42.414078
397.460938	-43.778656
398.437500	-43.405903
399.414062	-42.323162
400.390625	-43.585468
401.367188	-42.732712
402.343750	-42.539944
403.320312	-41.946655
404.296875	-42.034039
405.273438	-44.727974
406.250000	-43.276463
407.226562	-43.156170
408.203125	-43.064335
409.179688	-43.202080
410.156250	-44.073498
411.132812	-42.916859
412.109375	-42.784065
413.085938	-42.259418
414.062500	-44.152699
415.039062	-43.520912
416.015625	-42.373718
416.992188	-42.509415
417.968750	-43.572159
418.945312	-43.036385
419.921875	-44.068817
420.898438	-42.475945
421.875000	-43.241673
422.851562	-42.429138
423.828125	-43.187340
424.804688	-41.835400
425.781250	-42.338711
426.757812	-42.802319
427.734375	-43.400524
428.710938	-43.254208
429.687500	-42.622841
430.664062	-43.339970
431.640625	-41.294991
432.617188	-42.434284
433.593750	-43.289833
434.570312	-43.788586
435.546875	-42.229969
436.523438	-43.045643
437.500000	-41.463696
438.476562	-42.534618
439.453125	-42.518169
440.429688	-43.532692
441.406250	-42.769489
442.382812	-43.084244
443.359375	-42.649143
444.335938	-42.580017
445.312500	-43.855076
446.289062	-43.602093
447.265625	-41.609169
448.242188	-43.449898
449.218750	-42.118694
450.195312	-43.523529
451.171875	-42.565529
452.148438	-42.925312
453.125000	-43.880737
454.101562	-42.921375
455.078125	-42.267071
456.054688	-43.067253
457.031250	-43.650566
458.007812	-42.924183
458.984375	-42.951077
459.960938	-42.565678
460.937500	-41.936943
461.914062	-43.229649
462.890625	-42.470139
463.867188	-42.591747
464.843750	-42.846107
465.820312	-43.483601
466.796875	-42.067490
467.773438	-42.267460
468.750000	-42.850166
469.726562	-41.797310
470.703125	-42.216129
471.679688	-43.663795
472.656250	-41.805813
473.632812	-43.469727
474.609375	-43.186176
475.585938	-43.824722
476.562500	-42.912567
477.539062	-43.234764
478.515625	-42.998566
479.492188	-43.163929
480.468750	-43.000923
481.445312	-42.708565
482.421875	-43.609947
483.398438	-42.294914
484.375000	-42.956799
485.351562	-43.079037
486.328125	-43.361469
487.304688	-42.791302
488.281250	-43.782917
489.257812	-41.561607
490.234375	-42.167938
491.210938	-43.107136
492.187500	-43.695175
493.164062	-41.661049
494.140625	-43.041706
495.117188	-42.483501
496.093750	-42.064308
497.070312	-44.462082
498.046875	-43.252956
499.023438	-42.900444
500.000000	-45.035881
500.976562	-42.824032
501.953125	-41.683712
502.929688	-43.078529
503.906250	-42.969635
504.882812	-43.128811
505.859375	-42.809525
506.835938	-42.801979
507.812500	-42.165882
508.789062	-43.323582
509.765625	-44.442608
510.742188	-42.407467
511.718750	-42.610146
512.695312	-42.451805
513.671875	-43.958824
514.648438	-43.061424
515.625000	-42.569191
516.601562	-42.592770
517.578125	-43.728661
518.554688	-42.658432
519.531250	-42.978565
520.507812	-43.342960
521.484375	-42.431297
522.460938	-43.672222
523.437500	-43.805374
524.414062	-43.494308
525.390625	-43.616421
526.367188	-43.723789
527.343750	-43.609623
528.320312	-43.049397
529.296875	-42.817520
530.273438	-43.434227
531.250000	-42.828053
532.226562	-42.515083
533.203125	-41.704391
534.179688	-43.077145
535.156250	-43.226673
536.132812	-42.735893
537.109375	-43.312172
538.085938	-43.329155
539.062500	-42.240532
540.039062	-43.289623
541.015625	-44.095169
541.992188	-42.761795
542.968750	-41.880829
543.945312	-42.765163
544.921875	-42.876991
545.898438	-43.844620
546.875000	-43.453926
547.851562	-42.364887
548.828125	-43.396725
549.804688	-42.694889
550.781250	-42.786419
551.757812	-43.678154
552.734375	-42.013344
553.710938	-42.115871
554.687500	-42.014580
555.664062	-42.345741
556.640625	-43.005974
557.617188	-43.013943
558.593750	-42.039410
559.570312	-42.219120
560.546875	-44.211926
561.523438	-43.664875
562.500000	-42.924042
563.476562	-41.823120
564.453125	-42.380310
565.429688	-43.776566
566.406250	-43.911469
567.382812	-42.235573
568.359375	-42.597122
569.335938	-43.124813
570.312500	-42.506130
571.289062	-43.971359
572.265625	-42.737667
573.242188	-42.359695
574.218750	-44.964725
575.195312	-43.935455
576.171875	-42.759792
577.148438	-42.897114
578.125000	-43.170982
579.101562	-43.841064
580.078125	-43.002968
581.054688	-43.255325
582.031250	-43.795063
583.007812	-42.654686
583.984375	-43.276794
584.960938	-44.099190
585.937500	-43.544792
586.914062	-42.486156
587.890625	-42.915314
588.867188	-42.997879
589.843750	-42.731651
590.820312	-42.406246
591.796875	-44.000977
592.773438	-42.509022
593.750000	-42.600193
594.726562	-43.050484
595.703125	-43.810265
596.679688	-42.443302
597.656250	-42.485043
598.632812	-43.091209
599.609375	-42.366123
600.585938	-44.074543
601.562500	-42.962383
602.539062	-43.148315
603.515625	-43.200985
604.492188	-43.584457
605.468750	-42.639042
606.445312	-42.883270
607.421875	-42.342175
608.398438	-44.127304
609.375000	-43.498119
610.351562	-42.702862
611.328125	-43.349728
612.304688	-42.752132
613.281250	-44.154884
614.257812	-43.788425
615.234375	-42.604275
616.210938	-42.647392
617.187500	-42.446777
618.164062	-42.565159
619.140625	-44.503387
620.117188	-42.397144
621.093750	-42.640541
622.070312	-43.384682
623.046875	-43.042244
624.023438	-42.899384
625.000000	-42.921532
625.976562	-42.974350
626.953125	-42.070793
627.929688	-42.562073
628.906250	-43.999996
629.882812	-43.060875
630.859375	-43.517399
631.835938	-44.053093
632.812500	-42.189663
633.789062	-41.808105
634.765625	-44.320099
635.742188	-43.056248
636.718750	-42.354851
637.695312	-42.800549
638.671875	-42.147556
639.648438	-42.788830
640.625000	-42.878002
641.601562	-43.767521
642.578125	-42.636833
643.554688	-42.869144
644.531250	-42.941166
645.507812	-41.418819
646.484375	-42.741821
647.460938	-42.771374
648.437500	-42.772446
649.414062	-42.770962
650.390625	-42.789478
